D0,QD,FN0,QFN,T0,gamma,Nc,D,FN,realisation,temperature,stress,time_primary,strain_primary,time_secondary,strain_secondary,time_tertiary,strain_tertiary,time_failure,strain_failure
1.57E-07,110100,4356000000,81440,254,0.3711,0.0002991,9.58E-16,3648.262881,0,700,122,14943120.81,0.108781223,4143120.808,0.030445349,13503120.81,0.097809837,14943120.81,0.108781223
1.57E-07,91750,4356000000,81440,254,0.3711,0.0002991,2.24E-14,3648.262881,0,700,122,8319120.808,0.059999207,4143120.808,0.030454202,8319120.808,0.059999207,8319120.808,0.059999207
1.57E-07,91750,4356000000,65150,254,0.3711,0.0002991,2.24E-14,59928.81807,0,700,122,2847120.808,0.021634752,2127120.808,0.0163537,2847120.808,0.021634752,2847120.808,0.021634752
1.57E-07,91750,8711000000,97730,254,0.3711,0.0002991,2.24E-14,444.1367181,0,700,122,14943120.81,0.108794931,4143120.808,0.030446898,13503120.81,0.097819585,14943120.81,0.108794931
1.57E-07,91750,8711000000,81440,254,0.3711,0.0002991,2.24E-14,7295.688236,0,700,122,5727120.808,0.041751539,3855120.808,0.028451243,5727120.808,0.041751539,5727120.808,0.041751539
1.57E-07,91750,8711000000,65150,254,0.3711,0.0002991,2.24E-14,119843.8784,0,700,122,1983120.808,0.015497989,1407120.808,0.011259018,1983120.808,0.015497989,1983120.808,0.015497989
1.57E-07,91750,13070000000,97730,254,0.3711,0.0002991,2.24E-14,666.3835272,0,700,122,13647120.81,0.09900352,4143120.808,0.030448393,13503120.81,0.097857048,13647120.81,0.09900352
1.57E-07,91750,13070000000,81440,254,0.3711,0.0002991,2.24E-14,10946.46369,0,700,122,4575120.808,0.033676018,3567120.808,0.026446459,4575120.808,0.033676018,4575120.808,0.033676018
1.57E-07,91750,13070000000,65150,254,0.3711,0.0002991,2.24E-14,179813.9697,0,700,122,1695120.808,0.013730224,1119120.808,0.009205963,1695120.808,0.013730224,1695120.808,0.013730224
1.57E-07,73400,4356000000,97730,254,0.3711,0.0002991,5.25E-13,222.0938519,0,700,122,10335120.81,0.074549574,4143120.808,0.030454474,10335120.81,0.074549574,10335120.81,0.074549574
1.57E-07,73400,4356000000,81440,254,0.3711,0.0002991,5.25E-13,3648.262881,0,700,122,3567120.808,0.026803954,2703120.808,0.020409277,3567120.808,0.026803954,3567120.808,0.026803954
1.57E-07,110100,4356000000,65150,254,0.3711,0.0002991,9.58E-16,59928.81807,0,700,122,6447120.808,0.046746631,3999120.808,0.029451799,6447120.808,0.046746631,6447120.808,0.046746631
1.57E-07,73400,4356000000,65150,254,0.3711,0.0002991,5.25E-13,59928.81807,0,700,122,1263120.808,0.010399652,831120.8076,0.007144894,1263120.808,0.010399652,1263120.808,0.010399652
1.57E-07,73400,8711000000,97730,254,0.3711,0.0002991,5.25E-13,444.1367181,0,700,122,7167120.808,0.051975466,3999120.808,0.029456062,7167120.808,0.051975466,7167120.808,0.051975466
1.57E-07,73400,8711000000,81440,254,0.3711,0.0002991,5.25E-13,7295.688236,0,700,122,2559120.808,0.020100385,1839120.808,0.014329394,2559120.808,0.020100385,2559120.808,0.020100385
1.57E-07,73400,8711000000,65150,254,0.3711,0.0002991,5.25E-13,119843.8784,0,700,122,859920.8076,0.00764203,543120.8076,0.005058367,859920.8076,0.00764203,859920.8076,0.00764203
1.57E-07,73400,13070000000,97730,254,0.3711,0.0002991,5.25E-13,666.3835272,0,700,122,5727120.808,0.041783679,3855120.808,0.028457336,5727120.808,0.041783679,5727120.808,0.041783679
1.57E-07,73400,13070000000,81440,254,0.3711,0.0002991,5.25E-13,10946.46369,0,700,122,1983120.808,0.015517611,1407120.808,0.011264965,1983120.808,0.015517611,1983120.808,0.015517611
1.57E-07,73400,13070000000,65150,254,0.3711,0.0002991,5.25E-13,179813.9697,0,700,122,715920.8076,0.006738127,399120.8076,0.004002445,715920.8076,0.006738127,715920.8076,0.006738127
3.15E-07,110100,4356000000,97730,254,0.3711,0.0002991,1.92E-15,222.0938519,0,700,122,15087120.81,0.109871675,4143120.808,0.030442694,13503120.81,0.097795826,15087120.81,0.109871675
3.15E-07,110100,4356000000,81440,254,0.3711,0.0002991,1.92E-15,3648.262881,0,700,122,14799120.81,0.10771185,4143120.808,0.03044702,13503120.81,0.097825285,14799120.81,0.10771185
3.15E-07,110100,4356000000,65150,254,0.3711,0.0002991,1.92E-15,59928.81807,0,700,122,5007120.808,0.036689889,3711120.808,0.027447339,5007120.808,0.036689889,5007120.808,0.036689889
1.57E-07,110100,8711000000,97730,254,0.3711,0.0002991,9.58E-16,444.1367181,0,700,122,15087120.81,0.109872628,4143120.808,0.030442757,13503120.81,0.097796605,15087120.81,0.109872628
3.15E-07,110100,8711000000,97730,254,0.3711,0.0002991,1.92E-15,444.1367181,0,700,122,14943120.81,0.108768805,4143120.808,0.030443676,13503120.81,0.09780007,14943120.81,0.108768805
3.15E-07,110100,8711000000,81440,254,0.3711,0.0002991,1.92E-15,7295.688236,0,700,122,10335120.81,0.074533592,4143120.808,0.030450302,10335120.81,0.074533592,10335120.81,0.074533592
3.15E-07,110100,8711000000,65150,254,0.3711,0.0002991,1.92E-15,119843.8784,0,700,122,3567120.808,0.026953746,2703120.808,0.020399946,3567120.808,0.026953746,3567120.808,0.026953746
3.15E-07,110100,13070000000,97730,254,0.3711,0.0002991,1.92E-15,666.3835272,0,700,122,14943120.81,0.108773555,4143120.808,0.030444449,13503120.81,0.09780394,14943120.81,0.108773555
3.15E-07,110100,13070000000,81440,254,0.3711,0.0002991,1.92E-15,10946.46369,0,700,122,8319120.808,0.060092832,4143120.808,0.030453268,8319120.808,0.060092832,8319120.808,0.060092832
3.15E-07,110100,13070000000,65150,254,0.3711,0.0002991,1.92E-15,179813.9697,0,700,122,2847120.808,0.021707855,2127120.808,0.016351958,2847120.808,0.021707855,2847120.808,0.021707855
3.15E-07,91750,4356000000,97730,254,0.3711,0.0002991,4.48E-14,222.0938519,0,700,122,14943120.81,0.108789167,4143120.808,0.03044681,13503120.81,0.097815973,14943120.81,0.108789167
3.15E-07,91750,4356000000,81440,254,0.3711,0.0002991,4.48E-14,3648.262881,0,700,122,6447120.808,0.046868471,3999120.808,0.029455147,6447120.808,0.046868471,6447120.808,0.046868471
3.15E-07,91750,4356000000,65150,254,0.3711,0.0002991,4.48E-14,59928.81807,0,700,122,2271120.808,0.017737167,1695120.808,0.013306981,2271120.808,0.017737167,2271120.808,0.017737167
3.15E-07,91750,8711000000,97730,254,0.3711,0.0002991,4.48E-14,444.1367181,0,700,122,13071120.81,0.09467066,4143120.808,0.030449291,13071120.81,0.09467066,13071120.81,0.09467066
1.57E-07,110100,8711000000,81440,254,0.3711,0.0002991,9.58E-16,7295.688236,0,700,122,13215120.81,0.095725868,4143120.808,0.03044771,13215120.81,0.095725868,13215120.81,0.095725868
3.15E-07,91750,8711000000,81440,254,0.3711,0.0002991,4.48E-14,7295.688236,0,700,122,4431120.808,0.032711554,3423120.808,0.025442098,4431120.808,0.032711554,4431120.808,0.032711554
3.15E-07,91750,8711000000,65150,254,0.3711,0.0002991,4.48E-14,119843.8784,0,700,122,1551120.808,0.012423899,1119120.808,0.009209001,1551120.808,0.012423899,1551120.808,0.012423899
3.15E-07,91750,13070000000,97730,254,0.3711,0.0002991,4.48E-14,666.3835272,0,700,122,10479120.81,0.07551049,4143120.808,0.030451517,10479120.81,0.07551049,10479120.81,0.07551049
3.15E-07,91750,13070000000,81440,254,0.3711,0.0002991,4.48E-14,10946.46369,0,700,122,3567120.808,0.02667741,2703120.808,0.020402566,3567120.808,0.02667741,3567120.808,0.02667741
3.15E-07,91750,13070000000,65150,254,0.3711,0.0002991,4.48E-14,179813.9697,0,700,122,1291920.808,0.01098372,831120.8076,0.007140332,1291920.808,0.01098372,1291920.808,0.01098372
3.15E-07,73400,4356000000,97730,254,0.3711,0.0002991,1.05E-12,222.0938519,0,700,122,7743120.808,0.05594894,3999120.808,0.02945647,7743120.808,0.05594894,7743120.808,0.05594894
3.15E-07,73400,4356000000,81440,254,0.3711,0.0002991,1.05E-12,3648.262881,0,700,122,2703120.808,0.020680143,1983120.808,0.01534855,2703120.808,0.020680143,2703120.808,0.020680143
3.15E-07,73400,4356000000,65150,254,0.3711,0.0002991,1.05E-12,59928.81807,0,700,122,1047120.808,0.009883347,543120.8076,0.005057511,1047120.808,0.009883347,1047120.808,0.009883347
3.15E-07,73400,8711000000,97730,254,0.3711,0.0002991,1.05E-12,444.1367181,0,700,122,5439120.808,0.039910622,3711120.808,0.027456769,5439120.808,0.039910622,5439120.808,0.039910622
3.15E-07,73400,8711000000,81440,254,0.3711,0.0002991,1.05E-12,7295.688236,0,700,122,1983120.808,0.016059109,1263120.808,0.010240589,1983120.808,0.016059109,1983120.808,0.016059109
1.57E-07,110100,8711000000,65150,254,0.3711,0.0002991,9.58E-16,119843.8784,0,700,122,4431120.808,0.032661607,3423120.808,0.025436732,4431120.808,0.032661607,4431120.808,0.032661607
3.15E-07,73400,8711000000,65150,254,0.3711,0.0002991,1.05E-12,119843.8784,0,700,122,715920.8076,0.007306103,399120.8076,0.004006626,715920.8076,0.007306103,715920.8076,0.007306103
3.15E-07,73400,13070000000,97730,254,0.3711,0.0002991,1.05E-12,666.3835272,0,700,122,4287120.808,0.031678486,3279120.808,0.024444389,4287120.808,0.031678486,4287120.808,0.031678486
3.15E-07,73400,13070000000,81440,254,0.3711,0.0002991,1.05E-12,10946.46369,0,700,122,1551120.808,0.012506926,975120.8076,0.008179992,1551120.808,0.012506926,1551120.808,0.012506926
3.15E-07,73400,13070000000,65150,254,0.3711,0.0002991,1.05E-12,179813.9697,0,700,122,571920.8076,0.006121209,266110.5384,0.003017799,571920.8076,0.006121209,571920.8076,0.006121209
4.72E-07,110100,4356000000,97730,254,0.3711,0.0002991,2.87E-15,222.0938519,0,700,122,14943120.81,0.108765765,4143120.808,0.0304432,13503120.81,0.09779754,14943120.81,0.108765765
4.72E-07,110100,4356000000,81440,254,0.3711,0.0002991,2.87E-15,3648.262881,0,700,122,12927120.81,0.09361286,4143120.808,0.03044828,12927120.81,0.09361286,12927120.81,0.09361286
4.72E-07,110100,4356000000,65150,254,0.3711,0.0002991,2.87E-15,59928.81807,0,700,122,4287120.808,0.031640473,3423120.808,0.025439497,4287120.808,0.031640473,4287120.808,0.031640473
4.72E-07,110100,8711000000,97730,254,0.3711,0.0002991,2.87E-15,444.1367181,0,700,122,14943120.81,0.108772235,4143120.808,0.030444322,13503120.81,0.097802888,14943120.81,0.108772235
4.72E-07,110100,8711000000,81440,254,0.3711,0.0002991,2.87E-15,7295.688236,0,700,122,8895120.808,0.064164378,4143120.808,0.030452402,8895120.808,0.064164378,8895120.808,0.064164378
4.72E-07,110100,8711000000,65150,254,0.3711,0.0002991,2.87E-15,119843.8784,0,700,122,2991120.808,0.022597018,2271120.808,0.017365777,2991120.808,0.022597018,2991120.808,0.022597018
1.57E-07,110100,13070000000,97730,254,0.3711,0.0002991,9.58E-16,666.3835272,0,700,122,14943120.81,0.108767757,4143120.808,0.030443373,13503120.81,0.097799185,14943120.81,0.108767757
4.72E-07,110100,13070000000,97730,254,0.3711,0.0002991,2.87E-15,666.3835272,0,700,122,14943120.81,0.108778855,4143120.808,0.030445218,13503120.81,0.097808101,14943120.81,0.108778855
4.72E-07,110100,13070000000,81440,254,0.3711,0.0002991,2.87E-15,10946.46369,0,700,122,7167120.808,0.051973151,3999120.808,0.029450448,7167120.808,0.051973151,7167120.808,0.051973151
4.72E-07,110100,13070000000,65150,254,0.3711,0.0002991,2.87E-15,179813.9697,0,700,122,2415120.808,0.018528377,1839120.808,0.014320991,2415120.808,0.018528377,2415120.808,0.018528377
4.72E-07,91750,4356000000,97730,254,0.3711,0.0002991,6.73E-14,222.0938519,0,700,122,14943120.81,0.108806687,4143120.808,0.030448101,13503120.81,0.097827456,14943120.81,0.108806687
4.72E-07,91750,4356000000,81440,254,0.3711,0.0002991,6.73E-14,3648.262881,0,700,122,5583120.808,0.040925841,3855120.808,0.028455095,5583120.808,0.040925841,5583120.808,0.040925841
4.72E-07,91750,4356000000,65150,254,0.3711,0.0002991,6.73E-14,59928.81807,0,700,122,1983120.808,0.015756171,1407120.808,0.011263225,1983120.808,0.015756171,1983120.808,0.015756171
4.72E-07,91750,8711000000,97730,254,0.3711,0.0002991,6.73E-14,444.1367181,0,700,122,11199120.81,0.080791674,4143120.808,0.030451245,11199120.81,0.080791674,11199120.81,0.080791674
4.72E-07,91750,8711000000,81440,254,0.3711,0.0002991,6.73E-14,7295.688236,0,700,122,3855120.808,0.028814515,2991120.808,0.022423505,3855120.808,0.028814515,3855120.808,0.028814515
4.72E-07,91750,8711000000,65150,254,0.3711,0.0002991,6.73E-14,119843.8784,0,700,122,1407120.808,0.011567775,975120.8076,0.008179825,1407120.808,0.011567775,1407120.808,0.011567775
