tau_s,b,tau_0,gamma_0,n,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50
2000,0.1,100,3.33e-05,3,0.2025805681185023,0.3310558958683514,0.4595312236182004,0.5880065513680495,0.7164818791178986,0.8449572068677476,0.9734325346175966,1.1019078623674456,1.2303831901172948,1.358858517867144,1.4873338456169929,1.615809173366842,1.7442845011166912,1.8727598288665401,2.0012351566163895,2.1297104843662384,2.2581858121160874,2.3866611398659368,2.5151364676157857,2.6436117953656346,2.772087123115484,2.900562450865333,3.029037778615182,3.1575131063650312,3.28598843411488,3.414463761864729,3.5429390896145785,3.6714144173644274,3.7998897451142764,3.9283650728641253,4.056840400613974,4.185315728363824,4.313791056113672,4.4422663838635215,4.570741711613371,4.699217039363219,4.827692367113069,4.956167694862918,5.084643022612767,5.213118350362616,5.341593678112465,5.470069005862314,5.598544333612163,5.727019661362013,5.855494989111861,5.98397031686171,6.112445644611559,6.240920972361408,6.369396300111257,6.497871627861106
1000,0.1,100,3.33e-05,3,0.41472176367479446,0.8083189947996725,1.2019162259245508,1.595513457049429,1.9891106881743073,2.3827079192991856,2.7763051504240637,3.169902381548942,3.5634996126738203,3.9570968437986984,4.350694074923577,4.7442913060484555,5.137888537173334,5.531485768298212,5.92508299942309,6.318680230547968,6.712277461672847,7.105874692797725,7.499471923922603,7.893069155047482,8.28666638617236,8.68026361729724,9.073860848422118,9.467458079546995,9.861055310671874,10.254652541796752,10.64824977292163,11.041847004046508,11.435444235171387,11.829041466296264,12.222638697421143,12.61623592854602,13.0098331596709,13.403430390795776,13.797027621920655,14.190624853045534,14.584222084170412,14.97781931529529,15.371416546420168,15.765013777545047,16.158611008669926,16.5522082397948,16.94580547091968,17.33940270204456,17.732999933169438,18.126597164294314,18.520194395419193,18.91379162654407,19.307388857668947,19.700986088793826
1500,0.1,100,3.33e-05,3,0.30895422842284603,0.584377567586269,0.8598009067496919,1.135224245913115,1.4106475850765379,1.686070924239961,1.9614942634033838,2.236917602566807,2.51234094173023,2.787764280893653,3.063187620057076,3.3386109592204987,3.6140342983839218,3.889457637547345,4.1648809767107675,4.440304315874191,4.715727655037614,4.991150994201037,5.26657433336446,5.541997672527883,5.817421011691305,6.092844350854729,6.368267690018151,6.643691029181575,6.919114368344998,7.19453770750842,7.469961046671843,7.7453843858352664,8.02080772499869,8.296231064162113,8.571654403325535,8.84707774248896,9.122501081652382,9.397924420815805,9.67334775997923,9.948771099142652,10.224194438306075,10.499617777469497,10.77504111663292,11.050464455796345,11.325887794959767,11.60131113412319,11.876734473286612,12.152157812450035,12.427581151613458,12.70300449077688,12.978427829940305,13.253851169103728,13.52927450826715,13.804697847430573
1,0.1,100,3.33e-05,3,0.7084167662052899,1.4162798355435449,2.1241429048817997,2.832005974220055,3.53986904355831,4.247732112896564,4.95559518223482,5.663458251573075,6.3713213209113295,7.079184390249584,7.787047459587839,8.494910528926095,9.202773598264349,9.910636667602603,10.618499736940858,11.326362806279114,12.034225875617368,12.742088944955624,13.449952014293878,14.157815083632133,14.865678152970387,15.573541222308643,16.281404291646897,16.989267360985153,17.697130430323405,18.40499349966166,19.112856568999916,19.820719638338172,20.528582707676424,21.23644577701468,21.944308846352936,22.65217191569119,23.360034985029447,24.0678980543677,24.775761123705955,25.48362419304421,26.191487262382463,26.89935033172072,27.607213401058974,28.31507647039723,29.022939539735482,29.730802609073738,30.438665678411994,31.14652874775025,31.854391817088505,32.56225488642676,33.270117955765016,33.97798102510327,34.68584409444153,35.39370716377978
500,0.1,100,3.33e-05,3,0.603304085649585,1.2011734330290822,1.7990427804085796,2.3969121277880765,2.994781475167574,3.592650822547071,4.190520169926568,4.788389517306065,5.386258864685562,5.98412821206506,6.581997559444557,7.179866906824054,7.7777362542035515,8.375605601583048,8.973474948962545,9.571344296342042,10.16921364372154,10.767082991101036,11.364952338480535,11.962821685860032,12.560691033239529,13.158560380619026,13.756429727998523,14.35429907537802,14.952168422757516,15.550037770137013,16.14790711751651,16.745776464896007,17.343645812275504,17.941515159655005,18.5393845070345,19.137253854414,19.735123201793495,20.332992549172992,20.93086189655249,21.528731243931986,22.126600591311483,22.72446993869098,23.322339286070477,23.920208633449974,24.51807798082947,25.115947328208968,25.71381667558847,26.31168602296796,26.909555370347462,27.50742471772696,28.105294065106456,28.703163412485953,29.30103275986545,29.898902107244947
1000,0.1,100,3.33e-05,4,0.11441275053525993,0.20687653357363744,0.29934031661201493,0.3918040996503924,0.4842678826887699,0.5767316657271475,0.6691954487655251,0.7616592318039026,0.8541230148422801,0.9465867978806577,1.0390505809190353,1.1315143639574128,1.2239781469957904,1.3164419300341679,1.4089057130725453,1.501369496110923,1.5938332791493006,1.686297062187678,1.7787608452260555,1.871224628264433,1.9636884113028104,2.056152194341188,2.1486159773795652,2.241079760417943,2.3335435434563205,2.426007326494698,2.518471109533076,2.6109348925714535,2.7033986756098307,2.7958624586482084,2.8883262416865856,2.9807900247249632,3.073253807763341,3.165717590801718,3.2581813738400958,3.3506451568784734,3.443108939916851,3.5355727229552283,3.628036505993606,3.7205002890319836,3.8129640720703613,3.905427855108739,3.9978916381471166,4.090355421185494,4.182819204223871,4.275282987262249,4.367746770300626,4.460210553339004,4.552674336377381,4.645138119415758
2000,0.1,100,3.33e-05,4,0.07719758064280004,0.11448623823096268,0.14414448294175553,0.17038832129007153,0.19640373353651483,0.22241914578295813,0.2484345580294014,0.27444997027584467,0.30046538252228794,0.32648079476873126,0.35249620701517453,0.3785116192616178,0.4045270315080611,0.43054244375450434,0.4565578560009476,0.4825732682473909,0.5085886804938341,0.5346040927402774,0.5606195049867206,0.586634917233164,0.6126503294796073,0.6386657417260505,0.6646811539724938,0.690696566218937,0.7167119784653804,0.7427273907118237,0.768742802958267,0.7947582152047102,0.8207736274511536,0.8467890396975968,0.8728044519440401,0.8988198641904833,0.9248352764369266,0.9508506886833699,0.9768661009298132,1.0028815131762565,1.0288969254226998,1.054912337669143,1.0809277499155863,1.1069431621620296,1.132958574408473,1.1589739866549162,1.1849893989013596,1.2110048111478027,1.237020223394246,1.2630356356406893,1.2890510478871327,1.315066460133576,1.341081872380019,1.3670972846264624
1500,0.1,100,3.33e-05,4,0.09142421172104154,0.14562661933002843,0.19538478490109254,0.24514295047215662,0.2949011160432207,0.34465928161428483,0.3944174471853489,0.444175612756413,0.49393377832747704,0.5436919438985411,0.5934501094696052,0.6432082750406692,0.6929664406117333,0.7427246061827975,0.7924827717538615,0.8422409373249256,0.8919991028959896,0.9417572684670537,0.9915154340381178,1.041273599609182,1.0910317651802461,1.14078993075131,1.1905480963223742,1.2403062618934384,1.2900644274645023,1.3398225930355665,1.3895807586066304,1.4393389241776946,1.4890970897487585,1.5388552553198227,1.5886134208908866,1.6383715864619508,1.688129752033015,1.737887917604079,1.787646083175143,1.837404248746207,1.8871624143172712,1.9369205798883353,1.9866787454593993,2.036436911030463,2.0861950766015274,2.1359532421725915,2.1857114077436557,2.23546957331472,2.2852277388857836,2.3349859044568477,2.384744070027912,2.434502235598976,2.48426040117004,2.5340185667411044
1,0.1,100,3.33e-05,4,0.18511109877351498,0.36966087670877673,0.5542106546440386,0.7387604325793004,0.9233102105145621,1.1078599884498237,1.2924097663850855,1.4769595443203474,1.661509322255609,1.8460591001908708,2.0306088781261327,2.2151586560613943,2.399708433996656,2.584258211931918,2.7688079898671796,2.9533577678024416,3.1379075457377033,3.322457323672965,3.5070071016082265,3.691556879543488,3.87610665747875,4.060656435414012,4.245206213349274,4.4297559912845355,4.614305769219797,4.798855547155059,4.98340532509032,5.167955103025582,5.3525048809608435,5.537054658896105,5.721604436831368,5.906154214766629,6.090703992701891,6.2752537706371525,6.459803548572414,6.644353326507677,6.828903104442938,7.0134528823782,7.1980026603134615,7.382552438248723,7.567102216183985,7.751651994119246,7.936201772054508,8.12075154998977,8.305301327925031,8.489851105860293,8.674400883795554,8.858950661730816,9.04350043966608,9.228050217601341
500,0.1,100,3.33e-05,4,0.165874779765578,0.32961716185035295,0.49335954393512793,0.657101926019903,0.820844308104678,0.984586690189453,1.148329072274228,1.312071454359003,1.475813836443778,1.639556218528553,1.803298600613328,1.967040982698103,2.130783364782878,2.294525746867653,2.458268128952428,2.622010511037203,2.785752893121978,2.949495275206753,3.113237657291528,3.276980039376303,3.440722421461078,3.604464803545853,3.768207185630628,3.9319495677154035,4.0956919498001785,4.259434331884954,4.4231767139697284,4.586919096054504,4.750661478139278,4.914403860224054,5.078146242308829,5.241888624393604,5.405631006478378,5.569373388563154,5.733115770647928,5.896858152732704,6.060600534817478,6.224342916902254,6.388085298987028,6.551827681071804,6.715570063156578,6.879312445241354,7.043054827326129,7.206797209410904,7.370539591495678,7.534281973580453,7.698024355665228,7.861766737750003,8.025509119834776,8.189251501919552
