tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
50.0,6.4,100.0,3.333e-05,2.0,0.5,-5.0676e-15,240.35,257.8,272.36,282.72,289.77,294.5,297.61,299.62,300.86,301.57,301.92,302.01,301.93,301.74,301.47,301.16,300.82,300.45,300.07,299.7,299.34,298.96,298.61,298.26,297.93,297.61,297.3,297.0,296.72
50.0,6.4,200.0,3.333e-05,2.0,0.5,-8.8132e-16,447.9,462.46,476.72,487.07,494.03,498.57,501.46,503.19,504.13,504.54,504.56,504.34,503.94,503.44,502.86,502.24,501.59,500.94,500.28,499.64,499.0,498.37,497.77,497.18,496.63,496.08,495.56,495.06,494.59
50.0,6.4,400.0,3.333e-05,2.0,0.5,-2.027e-14,847.39,870.81,885.5,895.94,902.74,906.96,909.38,910.58,910.93,910.71,910.11,909.24,908.2,907.06,905.85,904.61,903.36,902.12,900.89,899.69,898.51,897.36,896.26,895.19,894.16,893.18,892.22,891.32,890.45
50.0,6.4,800.0,3.333e-05,2.0,0.5,-8.8132e-15,1527.7,1673.0,1701.6,1714.1,1720.9,1724.5,1726.1,1726.2,1725.5,1724.1,1722.1,1720.0,1717.6,1715.2,1712.7,1710.2,1707.8,1705.2,1702.9,1700.6,1698.2,1696.1,1693.9,1691.8,1689.9,1688.0,1686.1,1684.3,1682.7
50.0,12.8,50.0,3.333e-05,2.0,0.5,-1.322e-15,155.79,179.94,192.54,198.71,201.57,202.8,203.23,203.26,203.1,202.85,202.56,202.24,201.92,201.61,201.29,200.98,200.69,200.39,200.12,199.84,199.58,199.33,199.08,198.85,198.62,198.4,198.19,198.0,197.81
50.0,12.8,100.0,3.333e-05,2.0,0.5,0.0,259.64,282.31,294.89,301.09,303.88,304.97,305.25,305.11,304.77,304.35,303.88,303.4,302.91,302.43,301.97,301.51,301.06,300.62,300.2,299.79,299.39,299.0,298.64,298.28,297.95,297.62,297.31,297.01,296.72
50.0,12.8,200.0,3.333e-05,2.0,0.5,-3.0846e-15,465.76,486.88,499.6,505.89,508.55,509.4,509.35,508.87,508.19,507.42,506.61,505.78,504.97,504.16,503.36,502.6,501.85,501.12,500.41,499.72,499.06,498.42,497.8,497.21,496.64,496.09,495.57,495.07,494.59
50.0,12.8,400.0,3.333e-05,2.0,0.5,-1.5864e-14,861.94,894.72,908.97,915.63,918.1,918.46,917.8,916.65,915.27,913.8,912.29,910.78,909.29,907.82,906.39,904.99,903.63,902.3,901.03,899.77,898.58,897.42,896.29,895.22,894.18,893.19,892.23,891.32,890.45
50.0,12.8,800.0,3.333e-05,2.0,0.5,-2.1152e-14,1536.2,1694.2,1725.7,1735.3,1737.9,1737.6,1735.7,1733.2,1730.5,1727.6,1724.7,1721.7,1718.9,1716.1,1713.3,1710.7,1708.0,1705.5,1703.0,1700.7,1698.3,1696.1,1694.0,1691.9,1689.9,1688.0,1686.1,1684.4,1682.7
50.0,25.6,50.0,3.333e-05,2.0,0.5,-6.6099e-15,179.27,198.46,203.5,204.61,204.63,204.36,204.02,203.66,203.3,202.95,202.61,202.26,201.93,201.61,201.29,200.98,200.69,200.39,200.12,199.84,199.58,199.33,199.08,198.85,198.62,198.4,198.19,198.0,197.81
