VSH_TAU_0,VSH_TAU_SAT,VSH_B,AI_N,AI_GAMMA0,VIHR_S0,VIHR_R,VIHR_D,GPL_N,GPL_ETA,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
100.0,500.0,10.0,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.28344716008554,463.82,661.6,835.92,969.1,1091.8,1182.0,1264.8,1339.0,1388.3,1430.9,1455.1,1483.3,1494.8,1497.3,1486.4,1460.4,1424.3,1357.1,1299.6,1177.4,997.84,833.0,685.06,580.07,498.77
100.0,500.0,10.0,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.27023515476118,463.52,661.24,807.31,942.04,1065.9,1157.0,1240.3,1297.1,1348.2,1392.6,1417.8,1446.8,1457.3,1455.7,1435.9,1401.3,1358.9,1276.3,1195.0,1044.6,853.72,728.2,612.01,520.02,455.35
100.0,1000.0,0.1,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.498127447016,407.45,454.43,497.39,537.24,574.47,609.38,634.16,665.42,694.74,722.14,747.68,765.61,787.9,808.36,826.99,843.79,858.79,872.01,883.46,893.19,901.24,909.04,913.56,916.67,918.72
100.0,1000.0,0.1,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.51448766581809,321.95,343.48,358.97,373.97,393.28,407.27,425.32,438.4,455.27,471.49,483.25,498.39,512.92,526.87,540.23,553.02,565.25,579.75,590.74,603.71,613.47,624.93,635.55,645.32,654.24
100.0,1000.0,0.1,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.50189262480649,293.78,309.25,323.96,338.24,356.58,369.95,383.02,399.94,412.28,428.28,443.74,454.98,469.49,483.42,496.76,509.49,521.57,532.99,546.26,556.01,566.98,576.36,583.79,589.42,590.34
100.0,1000.0,0.1,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.48581165781662,282.91,298.56,313.22,327.34,341.04,354.39,367.42,384.32,396.65,408.76,424.3,439.35,450.34,464.34,477.78,490.58,502.69,514.04,524.53,536.22,545.84,552.62,555.32,551.48,534.68
100.0,1000.0,0.1,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.47291176160885,277.2,292.94,302.9,317.12,330.99,348.69,361.76,374.35,386.73,398.81,414.46,425.84,440.53,451.18,464.91,477.85,490.16,501.68,512.26,523.79,531.12,536.75,535.96,523.47,497.89
100.0,1000.0,1.0,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.35337604522259,422.06,514.15,604.33,693.41,781.41,889.89,975.47,1060.0,1143.6,1246.7,1328.1,1408.7,1488.4,1567.3,1645.3,1722.4,1798.6,1873.9,1948.2,2021.4,2093.6,2164.6,2234.3,2285.6,2352.8
100.0,1000.0,1.0,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.38837158788158,387.84,480.0,566.35,650.57,753.54,834.22,913.47,1010.6,1086.8,1161.7,1235.2,1307.4,1395.7,1464.8,1532.4,1598.4,1662.8,1710.0,1771.3,1830.7,1887.9,1943.0,1995.5,2033.2,2081.0
100.0,1000.0,1.0,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.39728721654553,372.25,444.23,551.32,633.56,713.95,812.22,889.18,964.73,1057.2,1129.7,1200.8,1270.6,1338.8,1405.6,1470.8,1534.3,1596.1,1655.9,1713.5,1768.8,1821.4,1870.9,1905.7,1948.2,1985.4
100.0,1000.0,1.0,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.40024639228838,365.79,438.97,545.66,627.17,706.76,803.99,880.12,954.84,1028.2,1117.9,1188.1,1257.0,1324.3,1390.1,1454.2,1516.6,1577.0,1635.4,1691.4,1744.6,1794.6,1829.4,1871.5,1907.1,1933.2
100.0,1000.0,1.0,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.40144455961261,362.21,436.18,521.99,623.79,702.95,780.49,875.32,949.59,1022.5,1094.0,1181.4,1249.7,1316.5,1381.8,1445.3,1507.1,1566.9,1624.4,1679.4,1731.4,1779.5,1812.5,1851.2,1880.8,1894.2
100.0,1000.0,10.0,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.24684470766904,485.72,656.93,848.18,1000.0,1174.5,1314.3,1449.6,1581.1,1683.9,1809.7,1908.5,2005.7,2101.7,2196.4,2266.7,2359.6,2428.6,2519.7,2587.5,2654.8,2721.6,2787.8,2853.6,2918.7,2983.3
100.0,1000.0,10.0,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.21346387087887,499.37,757.57,992.74,1213.7,1423.1,1594.8,1760.5,1894.3,2024.7,2151.9,2251.3,2348.7,2444.0,2514.0,2582.7,2649.9,2715.5,2779.2,2820.5,2880.4,2918.9,2955.9,2991.2,3024.6,3055.6
100.0,1000.0,10.0,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.23224515816745,540.56,829.51,1092.7,1338.6,1542.0,1736.3,1896.4,2025.6,2151.0,2272.5,2366.6,2457.6,2523.4,2586.8,2647.2,2685.4,2738.7,2770.6,2798.2,2819.1,2827.5,2812.0,2791.9,2731.8,2658.9
100.0,1000.0,10.0,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.23415055572634,540.98,864.36,1125.2,1368.9,1570.6,1763.1,1921.5,2049.0,2172.4,2267.9,2360.1,2448.4,2511.4,2570.8,2607.7,2657.1,2683.5,2698.4,2684.1,2656.3,2569.8,2476.0,2387.5,2271.2,2208.7
100.0,1000.0,10.0,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.22176380694308,541.18,830.7,1094.0,1309.7,1514.0,1708.7,1868.6,1997.2,2121.5,2217.7,2310.5,2377.5,2441.7,2502.4,2558.0,2590.8,2617.2,2628.6,2593.1,2547.7,2439.6,2338.0,2243.4,2164.1,2065.4
100.0,1500.0,0.1,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.48098822125362,410.57,462.58,511.71,558.62,603.64,646.95,688.66,718.92,757.95,795.46,831.45,865.9,898.77,930.05,959.69,987.66,1013.9,1038.4,1061.2,1082.2,1101.3,1118.6,1134.1,1150.8,1162.1
