tau_sat,b,tau_0,gamma_0,n,g1_phi_1_start,g1_phi_1_end,g1_Phi_start,g1_Phi_end,g1_phi_2_start,g1_phi_2_end,g2_phi_1_start,g2_phi_1_end,g2_Phi_start,g2_Phi_end,g2_phi_2_start,g2_phi_2_end,g3_phi_1_start,g3_phi_1_end,g3_Phi_start,g3_Phi_end,g3_phi_2_start,g3_phi_2_end,g4_phi_1_start,g4_phi_1_end,g4_Phi_start,g4_Phi_end,g4_phi_2_start,g4_phi_2_end,g5_phi_1_start,g5_phi_1_end,g5_Phi_start,g5_Phi_end,g5_phi_2_start,g5_phi_2_end
50.0,12.8,100.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3002,1.8218,1.7633,5.9657,5.8074,2.053,2.0358,2.1276,2.0755,5.7467,5.7791,2.4155,2.412,1.3144,1.3848,5.0433,4.9728,2.7234,2.6118,1.1961,1.1199,0.14859,0.23522,2.6323,2.6355,2.7999,2.9009
50.0,12.8,200.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3004,1.8218,1.7635,5.9657,5.808,2.053,2.0359,2.1276,2.0757,5.7467,5.7798,2.4155,2.4121,1.3144,1.3848,5.0433,4.973,2.7234,2.6121,1.1961,1.1201,0.14859,0.23448,2.6323,2.6354,2.7999,2.9005
50.0,12.8,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3007,1.8218,1.764,5.9657,5.8092,2.053,2.036,2.1276,2.076,5.7467,5.7811,2.4155,2.4124,1.3144,1.3847,5.0433,4.9734,2.7234,2.6129,1.1961,1.1205,0.14859,0.23301,2.6323,2.6354,2.7999,2.8997
50.0,12.8,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7648,5.9657,5.8115,2.053,2.0364,2.1276,2.0767,5.7467,5.7836,2.4155,2.4129,1.3144,1.3844,5.0433,4.9741,2.7234,2.6144,1.1961,1.1214,0.14859,0.23009,2.6323,2.6354,2.7999,2.8982
50.0,25.6,50.0,3.333e-05,2.0,5.4619,5.4429,2.3446,2.3002,1.8218,1.7632,5.9657,5.8071,2.053,2.0357,2.1276,2.0755,5.7467,5.7788,2.4155,2.4119,1.3144,1.3849,5.0433,4.9728,2.7234,2.6116,1.1961,1.1198,0.14859,0.23559,2.6323,2.6355,2.7999,2.9011
50.0,25.6,100.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3002,1.8218,1.7633,5.9657,5.8074,2.053,2.0358,2.1276,2.0755,5.7467,5.7791,2.4155,2.412,1.3144,1.3848,5.0433,4.9728,2.7234,2.6118,1.1961,1.1199,0.14859,0.23524,2.6323,2.6355,2.7999,2.9009
50.0,25.6,200.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3004,1.8218,1.7635,5.9657,5.808,2.053,2.0359,2.1276,2.0757,5.7467,5.7798,2.4155,2.4121,1.3144,1.3848,5.0433,4.973,2.7234,2.6121,1.1961,1.1201,0.14859,0.23449,2.6323,2.6354,2.7999,2.9005
50.0,25.6,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3007,1.8218,1.764,5.9657,5.8092,2.053,2.036,2.1276,2.076,5.7467,5.7811,2.4155,2.4124,1.3144,1.3847,5.0433,4.9734,2.7234,2.6129,1.1961,1.1205,0.14859,0.23301,2.6323,2.6354,2.7999,2.8998
50.0,25.6,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7648,5.9657,5.8115,2.053,2.0364,2.1276,2.0767,5.7467,5.7837,2.4155,2.4129,1.3144,1.3844,5.0433,4.9741,2.7234,2.6144,1.1961,1.1214,0.14859,0.23009,2.6323,2.6354,2.7999,2.8983
50.0,51.2,50.0,3.333e-05,2.0,5.4619,5.4429,2.3446,2.3002,1.8218,1.7632,5.9657,5.8071,2.053,2.0357,2.1276,2.0755,5.7467,5.7788,2.4155,2.4119,1.3144,1.3849,5.0433,4.9728,2.7234,2.6116,1.1961,1.1198,0.14859,0.2356,2.6323,2.6355,2.7999,2.9011
50.0,51.2,100.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3002,1.8218,1.7633,5.9657,5.8074,2.053,2.0358,2.1276,2.0755,5.7467,5.7792,2.4155,2.412,1.3144,1.3849,5.0433,4.9728,2.7234,2.6118,1.1961,1.1199,0.14859,0.23524,2.6323,2.6355,2.7999,2.9009
50.0,51.2,200.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3004,1.8218,1.7635,5.9657,5.808,2.053,2.0359,2.1276,2.0757,5.7467,5.7798,2.4155,2.4121,1.3144,1.3848,5.0433,4.973,2.7234,2.6121,1.1961,1.1201,0.14859,0.23449,2.6323,2.6354,2.7999,2.9005
50.0,51.2,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3007,1.8218,1.764,5.9657,5.8092,2.053,2.036,2.1276,2.076,5.7467,5.7811,2.4155,2.4124,1.3144,1.3847,5.0433,4.9734,2.7234,2.6129,1.1961,1.1205,0.14859,0.233,2.6323,2.6354,2.7999,2.8998
50.0,51.2,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7648,5.9657,5.8115,2.053,2.0364,2.1276,2.0767,5.7467,5.7837,2.4155,2.4129,1.3144,1.3844,5.0433,4.9741,2.7234,2.6144,1.1961,1.1214,0.14859,0.23008,2.6323,2.6354,2.7999,2.8983
100.0,0.1,50.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3002,1.8218,1.7633,5.9657,5.8069,2.053,2.0357,2.1276,2.0755,5.7467,5.7786,2.4155,2.4119,1.3144,1.3848,5.0433,4.9727,2.7234,2.6115,1.1961,1.1198,0.14859,0.23558,2.6323,2.6355,2.7999,2.901
100.0,0.1,100.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3002,1.8218,1.7633,5.9657,5.8072,2.053,2.0358,2.1276,2.0755,5.7467,5.7789,2.4155,2.412,1.3144,1.3848,5.0433,4.9728,2.7234,2.6117,1.1961,1.1199,0.14859,0.23535,2.6323,2.6355,2.7999,2.9009
100.0,0.1,200.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3004,1.8218,1.7635,5.9657,5.8078,2.053,2.0358,2.1276,2.0757,5.7467,5.7796,2.4155,2.4121,1.3144,1.3848,5.0433,4.973,2.7234,2.612,1.1961,1.1201,0.14859,0.23468,2.6323,2.6354,2.7999,2.9006
100.0,0.1,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3006,1.8218,1.7639,5.9657,5.809,2.053,2.036,2.1276,2.076,5.7467,5.7809,2.4155,2.4124,1.3144,1.3847,5.0433,4.9733,2.7234,2.6128,1.1961,1.1205,0.14859,0.23323,2.6323,2.6354,2.7999,2.8999
100.0,0.1,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7647,5.9657,5.8113,2.053,2.0364,2.1276,2.0766,5.7467,5.7834,2.4155,2.4129,1.3144,1.3844,5.0433,4.974,2.7234,2.6143,1.1961,1.1213,0.14859,0.23033,2.6323,2.6354,2.7999,2.8984
100.0,0.2,50.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3003,1.8218,1.7634,5.9657,5.807,2.053,2.0358,2.1276,2.0755,5.7467,5.7786,2.4155,2.4119,1.3144,1.3848,5.0433,4.9728,2.7234,2.6116,1.1961,1.1198,0.14859,0.23534,2.6323,2.6355,2.7999,2.9009
100.0,0.2,100.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3003,1.8218,1.7634,5.9657,5.8073,2.053,2.0358,2.1276,2.0756,5.7467,5.779,2.4155,2.412,1.3144,1.3848,5.0433,4.9728,2.7234,2.6118,1.1961,1.1199,0.14859,0.23517,2.6323,2.6355,2.7999,2.9008
100.0,0.2,200.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3004,1.8218,1.7636,5.9657,5.8079,2.053,2.0359,2.1276,2.0757,5.7467,5.7796,2.4155,2.4121,1.3144,1.3848,5.0433,4.973,2.7234,2.6121,1.1961,1.1201,0.14859,0.23454,2.6323,2.6354,2.7999,2.9005
100.0,0.2,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3007,1.8218,1.7639,5.9657,5.8091,2.053,2.036,2.1276,2.076,5.7467,5.7809,2.4155,2.4124,1.3144,1.3847,5.0433,4.9733,2.7234,2.6128,1.1961,1.1205,0.14859,0.23312,2.6323,2.6354,2.7999,2.8998
100.0,0.2,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7648,5.9657,5.8114,2.053,2.0364,2.1276,2.0767,5.7467,5.7835,2.4155,2.4129,1.3144,1.3844,5.0433,4.974,2.7234,2.6143,1.1961,1.1213,0.14859,0.23024,2.6323,2.6354,2.7999,2.8983
100.0,0.4,50.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3003,1.8218,1.7635,5.9657,5.8071,2.053,2.0358,2.1276,2.0756,5.7467,5.7788,2.4155,2.4119,1.3144,1.3848,5.0433,4.9728,2.7234,2.6117,1.1961,1.1199,0.14859,0.23505,2.6323,2.6355,2.7999,2.9007
100.0,0.4,100.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3003,1.8218,1.7635,5.9657,5.8074,2.053,2.0358,2.1276,2.0756,5.7467,5.7791,2.4155,2.412,1.3144,1.3848,5.0433,4.9729,2.7234,2.6119,1.1961,1.12,0.14859,0.23492,2.6323,2.6355,2.7999,2.9007
100.0,0.4,200.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3004,1.8218,1.7636,5.9657,5.808,2.053,2.0359,2.1276,2.0758,5.7467,5.7797,2.4155,2.4121,1.3144,1.3848,5.0433,4.973,2.7234,2.6122,1.1961,1.1201,0.14859,0.23434,2.6323,2.6355,2.7999,2.9004
100.0,0.4,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3007,1.8218,1.764,5.9657,5.8092,2.053,2.0361,2.1276,2.0761,5.7467,5.781,2.4155,2.4124,1.3144,1.3847,5.0433,4.9734,2.7234,2.6129,1.1961,1.1206,0.14859,0.23296,2.6323,2.6354,2.7999,2.8997
100.0,0.4,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7648,5.9657,5.8115,2.053,2.0364,2.1276,2.0767,5.7467,5.7835,2.4155,2.4129,1.3144,1.3844,5.0433,4.9741,2.7234,2.6144,1.1961,1.1214,0.14859,0.2301,2.6323,2.6354,2.7999,2.8982
100.0,0.8,50.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3004,1.8218,1.7636,5.9657,5.8072,2.053,2.0359,2.1276,2.0756,5.7467,5.7789,2.4155,2.412,1.3144,1.3848,5.0433,4.9729,2.7234,2.6118,1.1961,1.1199,0.14859,0.23481,2.6323,2.6355,2.7999,2.9005
100.0,0.8,100.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3004,1.8218,1.7636,5.9657,5.8075,2.053,2.0359,2.1276,2.0757,5.7467,5.7792,2.4155,2.412,1.3144,1.3848,5.0433,4.9729,2.7234,2.612,1.1961,1.12,0.14859,0.23469,2.6323,2.6355,2.7999,2.9005
100.0,0.8,200.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3005,1.8218,1.7637,5.9657,5.8081,2.053,2.0359,2.1276,2.0758,5.7467,5.7799,2.4155,2.4121,1.3144,1.3848,5.0433,4.9731,2.7234,2.6123,1.1961,1.1202,0.14859,0.23413,2.6323,2.6355,2.7999,2.9002
100.0,0.8,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3008,1.8218,1.7641,5.9657,5.8093,2.053,2.0361,2.1276,2.0761,5.7467,5.7812,2.4155,2.4124,1.3144,1.3847,5.0433,4.9734,2.7234,2.613,1.1961,1.1206,0.14859,0.23277,2.6323,2.6354,2.7999,2.8996
100.0,0.8,800.0,3.333e-05,2.0,5.4619,5.4433,2.3446,2.3014,1.8218,1.7649,5.9657,5.8117,2.053,2.0364,2.1276,2.0767,5.7467,5.7837,2.4155,2.4129,1.3144,1.3844,5.0433,4.9741,2.7234,2.6145,1.1961,1.1214,0.14859,0.22993,2.6323,2.6354,2.7999,2.8981
100.0,1.6,50.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3004,1.8218,1.7635,5.9657,5.8073,2.053,2.0359,2.1276,2.0756,5.7467,5.779,2.4155,2.412,1.3144,1.3848,5.0433,4.9729,2.7234,2.6119,1.1961,1.1199,0.14859,0.23477,2.6323,2.6355,2.7999,2.9005
100.0,1.6,100.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3004,1.8218,1.7636,5.9657,5.8077,2.053,2.0359,2.1276,2.0757,5.7467,5.7793,2.4155,2.412,1.3144,1.3848,5.0433,4.973,2.7234,2.612,1.1961,1.12,0.14859,0.2346,2.6323,2.6355,2.7999,2.9005
100.0,1.6,200.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3005,1.8218,1.7637,5.9657,5.8082,2.053,2.0359,2.1276,2.0758,5.7467,5.78,2.4155,2.4121,1.3144,1.3848,5.0433,4.9731,2.7234,2.6123,1.1961,1.1202,0.14859,0.23401,2.6323,2.6355,2.7999,2.9002
100.0,1.6,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3008,1.8218,1.7641,5.9657,5.8094,2.053,2.0361,2.1276,2.0761,5.7467,5.7813,2.4155,2.4124,1.3144,1.3847,5.0433,4.9735,2.7234,2.6131,1.1961,1.1206,0.14859,0.23263,2.6323,2.6354,2.7999,2.8995
