tau_s,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
1000,100,400,3.33e-05,3,36000000.0,0.0035138,0.0047525,0.0047525,0.0066299,0.0066299,0.0066299,0.0066299,0.0096918,0.0096918,0.0096918,0.0096918,0.0096918,0.0096918,0.013703,0.013703,0.013703,0.013703,0.013703,0.013703,0.017556,0.017556,0.017556,0.017556,0.017556,0.018417
500,10,200,3.33e-05,3,21045339.7503,0.01961,0.027633,0.034107,0.039713,0.039713,0.049227,0.049227,0.057818,0.061932,0.065917,0.069802,0.073612,0.077367,0.081086,0.084787,0.088492,0.092246,0.094125,0.097912,0.10176,0.10574,0.10994,0.11429,0.11905,0.12422
1500,10,500,3.33e-05,4,36000000.0,0.0011568,0.0016263,0.0016263,0.0023615,0.0023615,0.0023615,0.0023615,0.0034362,0.0034362,0.0034362,0.0034362,0.0034362,0.0034362,0.0045961,0.0045961,0.0045961,0.0045961,0.0045961,0.0045961,0.005529,0.005529,0.005529,0.005529,0.005529,0.00573
1000,100,400,3.33e-05,4,36000000.0,0.0011496,0.0014106,0.0014106,0.0017461,0.0017461,0.0017461,0.0017461,0.0021767,0.0021767,0.0021767,0.0021767,0.0021767,0.0021767,0.0026153,0.0026153,0.0026153,0.0026153,0.0026153,0.0026153,0.002962,0.002962,0.002962,0.002962,0.002962,0.0030366
1500,10,500,3.33e-05,5,166.78379999999,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972
1000,100,400,3.33e-05,5,36000000.0,0.00062601,0.0006946,0.0006946,0.00079128,0.00079128,0.00079128,0.00079128,0.00092129,0.00092129,0.00092129,0.00092129,0.00092129,0.00092129,0.0010543,0.0010543,0.0010543,0.0010543,0.0010543,0.0010543,0.0011581,0.0011581,0.0011581,0.0011581,0.0011581,0.0011804
1000,100,500,3.33e-05,1,134217.7279,0.0091585,0.016292,0.016292,0.030501,0.030501,0.030501,0.044819,0.044819,0.059287,0.059287,0.059287,0.07392,0.07392,0.088722,0.088722,0.096158,0.10364,0.10364,0.11116,0.11872,0.12633,0.13399,0.13399,0.14974,0.14974
500,10,200,3.33e-05,4,36000000.0,0.0082934,0.011432,0.011432,0.015489,0.015489,0.015489,0.015489,0.020772,0.020772,0.020772,0.020772,0.020772,0.020772,0.026254,0.026254,0.026254,0.026254,0.026254,0.026254,0.030657,0.030657,0.030657,0.030657,0.030657,0.031605
1000,100,500,3.33e-05,2,8563091.0463,0.011037,0.018764,0.018764,0.034351,0.034351,0.04221,0.0502,0.0502,0.058372,0.066651,0.075109,0.079415,0.088209,0.092711,0.10199,0.10927,0.11672,0.12724,0.13552,0.14391,0.15234,0.16082,0.16945,0.18182,0.1915
500,10,200,3.33e-05,5,36000000.0,0.0026679,0.0038278,0.0038278,0.0053747,0.0053747,0.0053747,0.0053747,0.0073583,0.0073583,0.0073583,0.0073583,0.0073583,0.0073583,0.0093309,0.0093309,0.0093309,0.0093309,0.0093309,0.0093309,0.01085,0.01085,0.01085,0.01085,0.01085,0.011174
500,10,300,3.33e-05,1,70044.8767,0.013047,0.022491,0.022491,0.038953,0.038953,0.054316,0.054316,0.054316,0.069126,0.069126,0.083653,0.083653,0.083653,0.098023,0.10518,0.10518,0.11234,0.1195,0.12666,0.12666,0.14098,0.14098,0.14816,0.15534,0.1616
500,10,300,3.33e-05,2,1717986.9183,0.012854,0.020348,0.032061,0.04225,0.04225,0.051602,0.051602,0.060454,0.069009,0.069009,0.077411,0.081576,0.089852,0.093982,0.098116,0.10226,0.11062,0.11484,0.11911,0.12785,0.13239,0.13699,0.14168,0.14918,0.15685
1000,100,500,3.33e-05,3,36000000.0,0.0030339,0.0041304,0.0041304,0.0057697,0.0057697,0.0057697,0.0057697,0.0083861,0.0083861,0.0083861,0.0083861,0.0083861,0.0083861,0.011742,0.011742,0.011742,0.011742,0.011742,0.011742,0.01492,0.01492,0.01492,0.01492,0.01492,0.015629
1000,100,500,3.33e-05,4,36000000.0,0.00093455,0.0011467,0.0011467,0.0014313,0.0014313,0.0014313,0.0014313,0.0018059,0.0018059,0.0018059,0.0018059,0.0018059,0.0018059,0.0021915,0.0021915,0.0021915,0.0021915,0.0021915,0.0021915,0.0024974,0.0024974,0.0024974,0.0024974,0.0024974,0.0025632
500,10,300,3.33e-05,3,36000000.0,0.019141,0.028175,0.035621,0.035621,0.042175,0.048164,0.05377,0.059107,0.06425,0.06425,0.069253,0.074157,0.078998,0.083809,0.088635,0.091044,0.093457,0.098304,0.10321,0.10824,0.11086,0.11622,0.12042,0.12484,0.13111
1000,100,500,3.33e-05,5,36000000.0,0.00056121,0.00059854,0.00059854,0.00065675,0.00065675,0.00065675,0.00065675,0.00074334,0.00074334,0.00074334,0.00074334,0.00074334,0.00074334,0.00083908,0.00083908,0.00083908,0.00083908,0.00083908,0.00083908,0.00091742,0.00091742,0.00091742,0.00091742,0.00091742,0.00093437
500,10,300,3.33e-05,4,36000000.0,0.0040026,0.0060766,0.0060766,0.0089901,0.0089901,0.0089901,0.0089901,0.01296,0.01296,0.01296,0.01296,0.01296,0.01296,0.017146,0.017146,0.017146,0.017146,0.017146,0.017146,0.020515,0.020515,0.020515,0.020515,0.020515,0.02124
500,10,300,3.33e-05,5,36000000.0,0.0010039,0.0013859,0.0013859,0.0020298,0.0020298,0.0020298,0.0020298,0.0030478,0.0030478,0.0030478,0.0030478,0.0030478,0.0030478,0.004212,0.004212,0.004212,0.004212,0.004212,0.004212,0.0051801,0.0051801,0.0051801,0.0051801,0.0051801,0.0053901
500,10,400,3.33e-05,1,87241.5231,0.010941,0.019254,0.033916,0.033916,0.047628,0.047628,0.060842,0.060842,0.073794,0.073794,0.086621,0.086621,0.099408,0.099408,0.11221,0.11221,0.12506,0.12506,0.13798,0.13798,0.15099,0.15099,0.16408,0.16408,0.17716
500,10,400,3.33e-05,2,1999844.1471,0.009375,0.015431,0.025082,0.025082,0.040987,0.040987,0.048437,0.055604,0.062632,0.062632,0.069653,0.076861,0.080474,0.087787,0.091503,0.099094,0.10298,0.11092,0.11497,0.12318,0.1273,0.1355,0.13959,0.14777,0.15289
500,10,400,3.33e-05,3,31782757.9903,0.0084273,0.013215,0.020306,0.020306,0.031778,0.031778,0.03716,0.042283,0.044763,0.049639,0.052071,0.056994,0.059459,0.063195,0.067017,0.070998,0.0753,0.08017,0.085322,0.091605,0.094481,0.10008,0.10288,0.10568,0.11142
500,10,400,3.33e-05,4,36000000.0,0.0020244,0.0031764,0.0031764,0.0050141,0.0050141,0.0050141,0.0050141,0.0077738,0.0077738,0.0077738,0.0077738,0.0077738,0.0077738,0.010848,0.010848,0.010848,0.010848,0.010848,0.010848,0.013386,0.013386,0.013386,0.013386,0.013386,0.013935
500,10,400,3.33e-05,5,36000000.0,0.0006592,0.00077781,0.00077781,0.00099173,0.00099173,0.00099173,0.00099173,0.0013766,0.0013766,0.0013766,0.0013766,0.0013766,0.0013766,0.0018797,0.0018797,0.0018797,0.0018797,0.0018797,0.0018797,0.0023403,0.0023403,0.0023403,0.0023403,0.0023403,0.0024422
500,10,500,3.33e-05,1,127506.8415,0.016777,0.023637,0.030152,0.042441,0.054312,0.065949,0.065949,0.077465,0.088934,0.10041,0.10041,0.11192,0.12349,0.13515,0.13515,0.14691,0.15878,0.17078,0.17078,0.18292,0.1952,0.20762,0.20762,0.22013,0.2327
500,10,500,3.33e-05,2,3033320.6527,0.011917,0.01992,0.026959,0.033403,0.045072,0.045072,0.056072,0.061441,0.066722,0.071942,0.077121,0.08742,0.09257,0.097735,0.10293,0.10817,0.11347,0.12156,0.12703,0.13258,0.13822,0.1469,0.15284,0.15934,0.16752
