tau_sat,b,tau_0,gamma_0,n,g0_phi_1,g0_Phi,g0_phi_2,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2,g5_phi_1,g5_Phi,g5_phi_2,g6_phi_1,g6_Phi,g6_phi_2,g7_phi_1,g7_Phi,g7_phi_2,g8_phi_1,g8_Phi,g8_phi_2,g9_phi_1,g9_Phi,g9_phi_2,g10_phi_1,g10_Phi,g10_phi_2,g11_phi_1,g11_Phi,g11_phi_2,g12_phi_1,g12_Phi,g12_phi_2,g13_phi_1,g13_Phi,g13_phi_2,g14_phi_1,g14_Phi,g14_phi_2,g15_phi_1,g15_Phi,g15_phi_2,g16_phi_1,g16_Phi,g16_phi_2,g17_phi_1,g17_Phi,g17_phi_2,g18_phi_1,g18_Phi,g18_phi_2,g19_phi_1,g19_Phi,g19_phi_2,g20_phi_1,g20_Phi,g20_phi_2,g21_phi_1,g21_Phi,g21_phi_2
100.0,4.0,100.0,3.333e-05,4.0,5.0205,0.29253,0.66825,5.2844,1.5086,1.0833,4.2294,0.56462,1.7231,5.1287,1.3421,1.213,4.479,0.51528,1.8335,4.4127,0.53819,1.7155,5.5976,1.3348,1.0878,6.1855,0.26525,0.64139,5.7382,1.2055,0.64233,5.6758,0.63201,6.2557,5.0573,1.3615,1.2077,5.5237,0.92552,0.28719,0.098094,0.26034,0.32675,5.4766,1.2715,1.1956,4.3258,0.43436,1.9254,5.662,0.365,0.82209,4.2324,0.93422,1.9865,4.5054,1.2213,1.8967,5.6255,0.42147,0.92808,5.2748,1.4201,1.1088,3.7225,0.37491,2.1261,6.0127,0.9159,6.2433
100.0,4.0,100.0,3.333e-05,8.0,5.0284,0.27207,0.65174,5.2776,1.5,1.0907,4.2905,0.57863,1.6953,5.1049,1.3194,1.2289,4.4141,0.53466,1.8851,4.4315,0.54385,1.7054,5.6054,1.32,1.0867,6.2403,0.26014,0.59263,5.7539,1.2086,0.63512,5.6571,0.62868,6.271,5.0417,1.3481,1.2192,5.5351,0.88829,0.26196,0.14393,0.26178,0.29168,5.493,1.2638,1.1939,4.3034,0.44298,1.9517,5.6424,0.35782,0.84,4.2241,0.93076,1.9917,4.5299,1.1937,1.8468,5.5969,0.41651,0.95099,5.2648,1.398,1.1215,3.7313,0.36656,2.1173,6.0014,0.91749,6.2577
100.0,4.0,100.0,3.333e-05,16.0,5.0227,0.2745,0.6564,5.2727,1.4832,1.0983,4.3079,0.57868,1.6816,5.094,1.3018,1.2421,4.3912,0.54012,1.912,4.4388,0.54469,1.6998,5.6155,1.3188,1.0837,6.2423,0.25656,0.59428,5.7576,1.2122,0.6263,5.6394,0.6271,0.0047596,5.0301,1.3335,1.2321,5.5285,0.88851,0.27351,0.14224,0.25742,0.2983,5.5056,1.2645,1.1943,4.3018,0.44093,1.9578,5.6401,0.35288,0.84428,4.216,0.93037,2.0015,4.5373,1.1699,1.8261,5.5886,0.41205,0.96022,5.2598,1.3734,1.1313,3.7313,0.36002,2.1119,5.9967,0.91918,6.2668
100.0,4.0,100.0,3.333e-05,32.0,4.8672,0.41088,0.82776,5.2974,1.4933,0.97128,4.1304,0.57245,1.6642,5.1661,1.3871,1.1575,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8534,0.33527,0.98218,5.6194,1.2572,0.61651,5.7375,0.62908,6.2208,5.093,1.385,1.1479,5.3858,1.0223,0.43636,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6885,0.37078,0.7965,4.2751,0.97589,2.0794,4.4562,1.1817,2.0699,5.6157,0.46704,1.0269,5.3008,1.447,0.99792,3.8291,0.42911,1.9485,6.0875,0.91445,6.2379
100.0,8.0,100.0,3.333e-05,1.0,4.867,0.41105,0.82806,5.2975,1.4932,0.97124,4.1303,0.57236,4.8057,5.1661,1.3871,1.1574,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,5.0931,1.3849,1.1478,5.3858,1.0224,0.43651,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,4.2751,0.976,2.0796,4.4562,1.1817,2.07,5.6158,0.46696,1.0269,5.3008,1.447,0.99786,3.8292,0.42919,1.9484,6.0875,0.91445,6.2379
100.0,8.0,100.0,3.333e-05,2.0,4.9826,0.35233,0.72495,5.292,1.5043,1.0451,4.144,0.55737,1.733,5.1576,1.3706,1.1899,4.5482,0.49074,1.8019,4.364,0.51857,1.7391,5.5987,1.3763,1.0844,5.988,0.28469,0.82594,5.6865,1.2158,0.62456,5.7064,0.63116,6.2392,5.0824,1.3788,1.1876,5.466,0.98103,0.35928,6.2463,0.25517,0.44038,5.4672,1.296,1.2102,4.3373,0.40297,1.918,5.6795,0.36841,0.8056,4.247,0.94943,2.023,4.4738,1.2099,1.9843,5.6394,0.43644,0.94431,5.2981,1.4432,1.0678,3.7739,0.38977,2.0532,6.0422,0.91487,6.2384
100.0,8.0,100.0,3.333e-05,4.0,5.0201,0.29256,0.66879,5.2845,1.5086,1.0832,4.2294,0.56446,1.723,5.1288,1.3421,1.213,4.479,0.51524,1.8334,4.4127,0.53813,1.7153,5.5976,1.3349,1.0877,6.1854,0.26519,0.64148,5.7382,1.2054,0.64237,5.6758,0.63199,6.2556,5.0574,1.3615,1.2077,5.5237,0.92544,0.28725,0.098239,0.26026,0.32656,5.4766,1.2715,1.1956,4.3258,0.43431,1.9252,5.6625,0.36503,0.82148,4.2325,0.93425,1.9864,4.5055,1.2215,1.8967,5.626,0.42147,0.92754,5.2749,1.4202,1.1087,3.7229,0.37497,2.1256,6.0129,0.91589,6.2432
100.0,8.0,100.0,3.333e-05,8.0,5.0278,0.27213,0.65256,5.2778,1.5002,1.0906,4.2905,0.57824,1.6952,5.105,1.3193,1.2289,4.4142,0.53463,1.8848,4.4319,0.54373,1.7048,5.6054,1.32,1.0866,6.2405,0.26011,0.59246,5.754,1.2086,0.63507,5.6571,0.62866,6.271,5.0419,1.3481,1.2192,5.535,0.88805,0.26196,0.14421,0.26177,0.29141,5.493,1.2638,1.1938,4.3035,0.44288,1.9514,5.6429,0.35784,0.83938,4.2242,0.93084,1.9917,4.5301,1.1938,1.8465,5.5974,0.41653,0.95046,5.265,1.3981,1.1214,3.7317,0.36658,2.1168,6.0016,0.91747,6.2576
100.0,8.0,100.0,3.333e-05,16.0,5.022,0.27459,0.6573,5.273,1.4835,1.0983,4.3081,0.57822,1.6813,5.0942,1.3017,1.2422,4.3914,0.54015,1.9116,4.4395,0.54448,1.6988,5.6154,1.3188,1.0837,6.2427,0.25657,0.59389,5.7579,1.2122,0.62621,5.6394,0.62707,0.0048872,5.0303,1.3335,1.2322,5.5283,0.88804,0.27336,0.14276,0.25748,0.29784,5.5056,1.2644,1.1942,4.3021,0.44077,1.9572,5.6406,0.35293,0.84373,4.2161,0.9305,2.0014,4.5377,1.1698,1.8256,5.589,0.41212,0.95978,5.26,1.3735,1.1312,3.7318,0.36,2.1113,5.9969,0.91916,6.2666
100.0,8.0,100.0,3.333e-05,32.0,4.8672,0.41088,0.82776,5.2974,1.4933,0.97128,4.1304,0.57245,1.6642,5.1661,1.3871,1.1575,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8534,0.33527,0.98218,5.6194,1.2572,0.61651,5.7375,0.62908,6.2208,5.093,1.385,1.1479,5.3858,1.0223,0.43636,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6885,0.37078,0.7965,4.2751,0.97589,2.0794,4.4562,1.1817,2.0699,5.6157,0.46704,1.0269,5.3008,1.447,0.99792,3.8291,0.42911,1.9485,6.0875,0.91445,6.2379
