D0,QD,FN0,QFN,T0,gamma,Nc,D,FN,realisation,temperature,stress,time_failure,strain_1,strain_2,strain_3,strain_4,strain_5,strain_6,strain_7,strain_8,strain_9,strain_10
3.148e-07,110100.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,1.9162040051912257e-15,3648.2628807703495,0,700,105,32367120.80761,0.0084373770101642,0.015526892922298,0.022853441766461,0.029824798232133,0.037107359393017,0.044091066402858,0.051430196282278,0.058501357208371,0.06596068713119,0.073225098648789
3.148e-07,110100.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,1.9162040051912257e-15,59928.81807421085,0,700,105,10191120.80761,0.0031713331022342,0.0054978406304627,0.0077901736757916,0.010387723838088,0.012646701259628,0.014895749422976,0.017137091762127,0.019372837602189,0.021606455411707,0.023931744597525
3.148e-07,110100.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,1.9162040051912257e-15,7295.68823562684,0,700,105,21855120.80761,0.0058247906225348,0.011029777621162,0.015848712674399,0.020632287604553,0.02539462863898,0.030146635879594,0.034897261406065,0.039971725566348,0.044743753967895,0.049632323969786
3.148e-07,110100.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,1.9162040051912257e-15,119843.87838486015,0,700,105,7023120.8076096,0.0024926350350114,0.0041760682540653,0.0058286023539222,0.007466611902332,0.0090950292999183,0.010392471738922,0.012009042159961,0.013621288333523,0.015232914225411,0.016969355573425
3.148e-07,110100.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,1.9162040051912257e-15,10946.463694138767,0,700,105,17247120.80761,0.0048367635478336,0.0087640209612756,0.012642281317889,0.016489928581161,0.020316619829042,0.024129533727822,0.027934605123596,0.0317370979907,0.035542788879334,0.039458128623773
3.148e-07,110100.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,1.9162040051912257e-15,179813.96974975572,0,700,105,5583120.8076096,0.0021477135308932,0.0035090157342728,0.004840507016326,0.0061587857458918,0.0074689511117184,0.0084476694758435,0.0097486106434504,0.011046212783383,0.012343607545333,0.013725644911229
3.148e-07,91750.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,4.4844299071546576e-14,3648.2628807703495,0,700,105,13215120.80761,0.0038420765624665,0.0071371642896329,0.010063267787814,0.012967111524128,0.015854730241608,0.018730318266025,0.021597340220883,0.024776812978953,0.027637634188392,0.030605554562907
3.148e-07,91750.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,4.4844299071546576e-14,59928.81807421085,0,700,105,4287120.8076096,0.0017972436179257,0.0028356722440014,0.0038455890524026,0.0048432029173792,0.0058338194747871,0.0068198326617572,0.0078026600293772,0.0087835313733422,0.0097650550084729,0.01079315436162
3.148e-07,91750.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,4.4844299071546576e-14,444.13671811031884,0,700,105,28047120.80761,0.0074616803781677,0.013605263668912,0.01999543386146,0.026027482723686,0.032361181871058,0.038380917003132,0.044735605015996,0.050801715392194,0.057229489394425,0.063452668035711
1.574e-07,110100.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,9.581020025956129e-16,7295.68823562684,0,700,105,28623120.80761,0.0074605942706192,0.013925032919837,0.020312047056793,0.026659095430564,0.032991438413208,0.039011137081336,0.045366635543019,0.051754169893322,0.058185136430764,0.064758170823997
